<<<<<<< HEAD
Lucknow,2290,2615,251143,2,2656,17495
Gautam Buddha Nagar,1465,2186,79487,0,469,8278
Ghaziabad,778,1867,70577,1,465,6359
Meerut,1020,1242,78197,2,912,5454
Varanasi,673,611,88517,1,972,3697
Agra,408,605,29556,0,459,3234
Kanpur Nagar,354,409,83451,0,1908,3017
Prayagraj,529,454,79937,0,1092,2725
Saharanpur,439,325,34216,0,420,2293
Gorakhpur,362,378,60794,1,851,2090
Bareilly,426,335,45360,0,377,2034
Moradabad,346,351,42309,0,352,2030
Bulandshahr,406,236,21958,0,246,2012
Muzaffarnagar,331,553,33479,0,271,1899
Mathura,216,393,22450,0,403,1874
Jhansi,257,321,37269,0,663,1867
Lakhimpur Kheri,336,133,24517,2,297,1324
Barabanki,215,160,20506,0,225,1245
Hardoi,195,118,13925,0,353,1153
Aligarh,184,257,22930,0,111,1129
Bijnor,168,156,15504,0,126,1052
Shahjahanpur,186,149,20558,0,444,1012
Shamli,372,226,14114,0,46,998
Rampur,153,443,12960,1,149,980
Hapur,100,203,13170,1,218,918
Budaun,78,118,15302,0,101,832
Amroha,149,114,17112,1,204,760
Sultanpur,165,97,15059,1,140,735
Rae Bareli,174,92,17367,0,343,679
Gonda,128,75,12355,0,272,667
Ghazipur,63,87,21883,0,285,664
Ayodhya,149,131,17333,0,290,658
Etah,113,169,10272,1,100,640
Etawah,132,43,13930,0,295,615
Firozabad,187,144,9273,0,136,586
Sonbhadra,111,66,16986,0,253,574
Deoria,106,42,20292,1,224,570
Sitapur,137,37,12612,0,186,541
Chandauli,107,114,16312,2,360,536
Bahraich,112,39,11639,0,178,524
Basti,75,87,11714,0,331,523
Amethi,82,61,10040,0,143,514
Mainpuri,89,151,10503,1,185,502
Siddharthnagar,84,38,9533,0,100,490
Farrukhabad,69,67,10416,0,195,480
Jaunpur,91,61,22671,0,236,480
Baghpat,152,159,10005,0,143,424
Azamgarh,45,68,17922,0,229,416
Sambhal,58,70,9969,0,106,407
Jalaun,115,10,11535,0,203,395
Pilibhit,91,41,10993,0,194,386
Ballia,49,28,21542,2,237,381
Lalitpur,107,50,12805,0,129,318
Kannauj,116,25,9298,1,116,317
Mirzapur,47,49,11273,0,117,291
